STT,Ngày Chuyển,Mã ST,Tên Siêu Thị,Mã Phiếu PT,Mã Thùng,Mã TO,Mã SKU,Tên Mặt Hàng (KG),ĐVT,SL Chuyển (kg),SL Nhận (kg),Chênh Lệch (kg),Hao Hụt Tự Nhiên (kg),Trạng Thái Hình Ảnh,Số Lượng Ảnh,Link Hình Ảnh,Ghi Chú ST Trên App,Đề Xuất Ghi Chú (Cột NOTE)
1,08/23/2026,A101,KFM_BDU_DAN - 27 Tân Lập,PT1707341,A,TO246141,1100816,DƯA HẤU RUỘT ĐỎ,KG,31.1,29.24,1.86,0.0,CO HINH (2 anh),2,"https://s3.kingfood.co/double-check/scaled_51641006-4db2-450a-a5b6-ed3b7569c0f1248821536042689177.jpg
https://s3.kingfood.co/double-check/scaled_01af1b16-5b49-493a-9dc3-dec615fe801e5786647924905368513.jpg",tn,hình kdb
2,08/23/2026,A101,KFM_BDU_DAN - 27 Tân Lập,PT1707341,A,TO246141,1101941,DƯA LƯỚI VỎ VÀNG RUỘT CAM,KG,24.1,24.0,0.1,0.1,CO HINH (2 anh),2,"https://s3.kingfood.co/double-check/scaled_661dca5f-f888-435a-a35b-7c15a8ddba698928534504700957617.jpg
https://s3.kingfood.co/double-check/scaled_d52f296f-0adb-4ae6-b6ec-9341466ae8f74483046566459518833.jpg",tn,hình kdb
3,08/23/2026,A102,KFM_HCM_TDU - 128A Kha Vạn Cân,PT1707121,A,TO246023,1100992,DƯA LƯỚI VỎ XANH RUỘT CAM,KG,10.1,10.0,0.1,0.1,CO HINH (1 anh),1,https://s3.kingfood.co/double-check/scaled_dd89bbf4-f96c-400f-b7f7-933b33fb72331466768750105040881.jpg,,hình kdb
4,08/23/2026,A102,KFM_HCM_TDU - 128A Kha Vạn Cân,PT1707121,A,TO246023,1101079,BƠ 034,KG,3.0,2.9,0.1,0.1,CO HINH (1 anh),1,https://s3.kingfood.co/double-check/scaled_00f8eb9c-af7f-49a1-8528-6a4a3c479d975196722537351987572.jpg,,hình kdb
5,08/23/2026,A102,KFM_HCM_TDU - 128A Kha Vạn Cân,PT1707121,A,TO246023,1101366,BÔNG CẢI XANH ĐÀ LẠT  (KG),KG,4.1,4.0,0.1,0.1,CO HINH (1 anh),1,https://s3.kingfood.co/double-check/scaled_f23f176d-60f0-4e0b-ab15-eb1764ca65768908393711178269041.jpg,,hình kdb
6,08/23/2026,A102,KFM_HCM_TDU - 128A Kha Vạn Cân,PT1707121,A,TO246023,1101377,BÔNG CẢI TRẮNG ĐÀ LẠT VIETGAP,KG,2.1,2.0,0.1,0.1,CO HINH (1 anh),1,https://s3.kingfood.co/double-check/scaled_83e84457-a6c3-48e5-bec6-077f9f94996b2970084269321945599.jpg,,hình kdb
7,08/23/2026,A103,KFM_HCM_NBE - 222 Lê Văn Lương,PT1707401,A,TO246114,1100816,DƯA HẤU RUỘT ĐỎ,KG,29.7,29.6,0.1,0.1,CO HINH (1 anh),1,https://s3.kingfood.co/double-check/scaled_494cd3e4-648d-444b-87ee-3535c54bbed68232593063457899559.jpg,,hình kdb
8,08/23/2026,A103,KFM_HCM_NBE - 222 Lê Văn Lương,PT1707401,A,TO246114,1101366,BÔNG CẢI XANH ĐÀ LẠT  (KG),KG,3.9,3.8,0.1,0.1,CO HINH (1 anh),1,https://s3.kingfood.co/double-check/scaled_54c26bee-7c30-4342-9f20-97e438e5e76f1723341285619939032.jpg,,hình kdb
9,08/23/2026,A104,KFM_HCM_NBE - 5/3D Huỳnh Tấn Phát,PT1707340,A,TO246076,1100816,DƯA HẤU RUỘT ĐỎ,KG,30.4,30.2,0.2,0.2,CO HINH (2 anh),2,"https://s3.kingfood.co/double-check/scaled_cbf31207-1e6b-41c1-8a04-dc894b8eb2343396410464426789600.jpg
https://s3.kingfood.co/double-check/scaled_9ca61733-523e-4747-b039-7f6ac57b39395104159342905303547.jpg",tn,hình kdb
10,08/23/2026,A104,KFM_HCM_NBE - 5/3D Huỳnh Tấn Phát,PT1707340,A,TO246076,1101062,CHUỐI LABA ĐÀ LẠT,KG,10.2,10.1,0.1,0.1,CO HINH (1 anh),1,https://s3.kingfood.co/double-check/scaled_8a44a8b7-21d6-4855-8793-d46aeee035b69197612492303603748.jpg,tn,hình kdb
